Date : 2021-08-09 00:48:44
Directory : /Users/thewanderer/code/ShareSpace
Total : 94 files,  41945 codes, 199 comments, 427 blanks, all 42571 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/thewanderer/code/ShareSpace/src/pages/UpdateProfile/UpdateProfile.jsx                | JavaScript React |        109 |          6 |          8 |        123 |
| /Users/thewanderer/code/ShareSpace/src/pages/UpdateWriting/UpdateWriting.css                | CSS              |         10 |          0 |          2 |         12 |
| /Users/thewanderer/code/ShareSpace/src/pages/UpdateWriting/UpdateWriting.jsx                | JavaScript React |         59 |          0 |          8 |         67 |
| /Users/thewanderer/code/ShareSpace/src/pages/WritingShow/WritingShow.css                    | CSS              |          6 |          0 |          2 |          8 |
| /Users/thewanderer/code/ShareSpace/src/pages/WritingShow/WritingShow.jsx                    | JavaScript React |        127 |          2 |         13 |        142 |
| /Users/thewanderer/code/ShareSpace/src/serviceWorker.js                                     | JavaScript       |         98 |         31 |         13 |        142 |
| /Users/thewanderer/code/ShareSpace/src/setupTests.js                                        | JavaScript       |          1 |          4 |          1 |          6 |
| /Users/thewanderer/code/ShareSpace/src/utils/commentService.js                              | JavaScript       |         44 |          8 |          8 |         60 |
| /Users/thewanderer/code/ShareSpace/src/utils/friendService.js                               | JavaScript       |         60 |          0 |          7 |         67 |
| /Users/thewanderer/code/ShareSpace/src/utils/likesService.js                                | JavaScript       |         76 |          0 |          8 |         84 |
| /Users/thewanderer/code/ShareSpace/src/utils/postService.js                                 | JavaScript       |         79 |          0 |         12 |         91 |
| /Users/thewanderer/code/ShareSpace/src/utils/tokenService.js                                | JavaScript       |         31 |          0 |          5 |         36 |
| /Users/thewanderer/code/ShareSpace/src/utils/userService.js                                 | JavaScript       |         50 |         14 |          7 |         71 |
| Total                                                                                       |                  |     41,945 |        199 |        427 |     42,571 |
+---------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
