"filename", "language", "JavaScript React", "CSS", "JavaScript", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"/Users/thewanderer/code/ShareSpace/src/components/WritingCard/WritingCard.css", "CSS", 0, 50, 0, 0, 0, 0, 0, 2, 52
"/Users/thewanderer/code/ShareSpace/src/components/WritingCard/WritingCard.jsx", "JavaScript React", 221, 0, 0, 0, 0, 0, 18, 9, 248
"/Users/thewanderer/code/ShareSpace/src/components/WritingPostContent/WritingPostContent.css", "CSS", 0, 13, 0, 0, 0, 0, 0, 2, 15
"/Users/thewanderer/code/ShareSpace/src/components/WritingPostContent/WritingPostContent.jsx", "JavaScript React", 69, 0, 0, 0, 0, 0, 0, 2, 71
"/Users/thewanderer/code/ShareSpace/src/components/WritingPostFeed/WritingPostFeed.css", "CSS", 0, 17, 0, 0, 0, 0, 0, 1, 18
"/Users/thewanderer/code/ShareSpace/src/components/WritingPostFeed/WritingPostFeed.jsx", "JavaScript React", 72, 0, 0, 0, 0, 0, 0, 3, 75
"/Users/thewanderer/code/ShareSpace/src/index.css", "CSS", 0, 12, 0, 0, 0, 0, 0, 2, 14
"/Users/thewanderer/code/ShareSpace/src/index.js", "JavaScript", 0, 0, 12, 0, 0, 0, 3, 2, 17
"/Users/thewanderer/code/ShareSpace/src/pages/AddPost/AddPost.css", "CSS", 0, 7, 0, 0, 0, 0, 0, 2, 9
"/Users/thewanderer/code/ShareSpace/src/pages/AddPost/AddPost.jsx", "JavaScript React", 65, 0, 0, 0, 0, 0, 0, 6, 71
"/Users/thewanderer/code/ShareSpace/src/pages/AddWriting/AddWriting.css", "CSS", 0, 7, 0, 0, 0, 0, 0, 2, 9
"/Users/thewanderer/code/ShareSpace/src/pages/AddWriting/AddWriting.jsx", "JavaScript React", 58, 0, 0, 0, 0, 0, 0, 5, 63
"/Users/thewanderer/code/ShareSpace/src/pages/App/App.css", "CSS", 0, 37, 0, 0, 0, 0, 1, 6, 44
"/Users/thewanderer/code/ShareSpace/src/pages/App/App.jsx", "JavaScript React", 132, 0, 0, 0, 0, 0, 0, 7, 139
"/Users/thewanderer/code/ShareSpace/src/pages/App/App.test.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 2, 10
"/Users/thewanderer/code/ShareSpace/src/pages/Friends/Friends.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/thewanderer/code/ShareSpace/src/pages/Friends/Friends.jsx", "JavaScript React", 34, 0, 0, 0, 0, 0, 0, 4, 38
"/Users/thewanderer/code/ShareSpace/src/pages/Home/Home.css", "CSS", 0, 50, 0, 0, 0, 0, 0, 5, 55
"/Users/thewanderer/code/ShareSpace/src/pages/Home/Home.jsx", "JavaScript React", 70, 0, 0, 0, 0, 0, 0, 5, 75
"/Users/thewanderer/code/ShareSpace/src/pages/LoginPage/LoginPage.css", "CSS", 0, 28, 0, 0, 0, 0, 0, 4, 32
"/Users/thewanderer/code/ShareSpace/src/pages/LoginPage/LoginPage.jsx", "JavaScript React", 94, 0, 0, 0, 0, 0, 0, 5, 99
"/Users/thewanderer/code/ShareSpace/src/pages/MainPhoto/MainPhoto.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/thewanderer/code/ShareSpace/src/pages/MainPhoto/MainPhoto.jsx", "JavaScript React", 118, 0, 0, 0, 0, 0, 0, 6, 124
"/Users/thewanderer/code/ShareSpace/src/pages/MainWriting/MainWriting.css", "CSS", 0, 12, 0, 0, 0, 0, 0, 0, 12
"/Users/thewanderer/code/ShareSpace/src/pages/MainWriting/MainWriting.jsx", "JavaScript React", 111, 0, 0, 0, 0, 0, 1, 8, 120
"/Users/thewanderer/code/ShareSpace/src/pages/PhotoPostShow/PhotoPostShow.css", "CSS", 0, 6, 0, 0, 0, 0, 0, 2, 8
"/Users/thewanderer/code/ShareSpace/src/pages/PhotoPostShow/PhotoPostShow.jsx", "JavaScript React", 130, 0, 0, 0, 0, 0, 0, 9, 139
"/Users/thewanderer/code/ShareSpace/src/pages/ProfileFriendsList/ProfileFriendsList.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/thewanderer/code/ShareSpace/src/pages/ProfileFriendsList/ProfileFriendsList.jsx", "JavaScript React", 38, 0, 0, 0, 0, 0, 0, 4, 42
"/Users/thewanderer/code/ShareSpace/src/pages/ProfilePage/ProfilePage.css", "CSS", 0, 3, 0, 0, 0, 0, 0, 1, 4
